Epoch: 0  , step: 930  , SSIM: 0.8679856020280997
Epoch: 0  , step: 940  , SSIM: 0.8683701020078566
Epoch: 0  , step: 950  , SSIM: 0.8688214775351132
Epoch: 0  , step: 960  , SSIM: 0.8692267057636092
Epoch: 0  , step: 970  , SSIM: 0.8696147674842365
Epoch: 0  , step: 980  , SSIM: 0.8700408098856547
Epoch: 0  , step: 990  , SSIM: 0.8703820226614398
Epoch: 0  , step: 1000  , SSIM: 0.8706850367193515
Epoch: 0  , step: 1010  , SSIM: 0.8709514864437599
Epoch: 0  , step: 1020  , SSIM: 0.871291742440273
Epoch: 0  , step: 1030  , SSIM: 0.8716246687439492
Epoch: 0  , step: 1040  , SSIM: 0.8718937693788212
Epoch: 0  , step: 1050  , SSIM: 0.8722384088237608
Epoch: 0  , step: 1060  , SSIM: 0.8726146540777454
Epoch: 0  , step: 1070  , SSIM: 0.8729741754172062
Epoch: 0  , step: 1080  , SSIM: 0.8732860906568255
Epoch: 0  , step: 1090  , SSIM: 0.8734899147368428
Epoch: 0  , step: 1100  , SSIM: 0.8738066612503455
Epoch: 0  , step: 1110  , SSIM: 0.8741171198497207
Epoch: 0  , step: 1120  , SSIM: 0.8744299664302504
Epoch: 0  , Train:   , SSIM: 0.8746086714499527
lr: 0.0001
Epoch: 0  , Test:   , SSIM: 0.9021710085868836
Epoch: 1  , step: 0  , SSIM: 0.8960493206977844
Epoch: 1  , step: 10  , SSIM: 0.9142044728452509
Epoch: 1  , step: 20  , SSIM: 0.9158151547114054
Epoch: 1  , step: 30  , SSIM: 0.915652871131897
Epoch: 1  , step: 40  , SSIM: 0.9111519266919392
Epoch: 1  , step: 50  , SSIM: 0.9121491628534654
Epoch: 1  , step: 60  , SSIM: 0.9120062130396484
Epoch: 1  , step: 70  , SSIM: 0.9119703274377635
Epoch: 1  , step: 80  , SSIM: 0.9111076188676152
Epoch: 1  , step: 90  , SSIM: 0.9111285314455138
Epoch: 1  , step: 100  , SSIM: 0.9110735454181633
Epoch: 1  , step: 110  , SSIM: 0.910129807016871
Epoch: 1  , step: 120  , SSIM: 0.9097821776531945
Epoch: 1  , step: 130  , SSIM: 0.9099612386172055
Epoch: 1  , step: 140  , SSIM: 0.9101785404462341
Epoch: 1  , step: 150  , SSIM: 0.9099632777915095
Epoch: 1  , step: 160  , SSIM: 0.9099230714466261
Epoch: 1  , step: 170  , SSIM: 0.909743989420216
Epoch: 1  , step: 180  , SSIM: 0.9099194213171691
Epoch: 1  , step: 190  , SSIM: 0.9099024811964385
Epoch: 1  , step: 200  , SSIM: 0.9099440515337892
Epoch: 1  , step: 210  , SSIM: 0.9101226199859691
Epoch: 1  , step: 220  , SSIM: 0.9099712617257062
Epoch: 1  , step: 230  , SSIM: 0.9098735601354987
Epoch: 1  , step: 240  , SSIM: 0.9100398695815154
Epoch: 1  , step: 250  , SSIM: 0.9102498088699887
Epoch: 1  , step: 260  , SSIM: 0.9102572209533604
Epoch: 1  , step: 270  , SSIM: 0.91015569860205
Epoch: 1  , step: 280  , SSIM: 0.910077425932969
Epoch: 1  , step: 290  , SSIM: 0.9099754684979153
Epoch: 1  , step: 300  , SSIM: 0.9099813812594874
Epoch: 1  , step: 310  , SSIM: 0.909935577314383
Epoch: 1  , step: 320  , SSIM: 0.910065237421113
Epoch: 1  , step: 330  , SSIM: 0.909982703783721
Epoch: 1  , step: 340  , SSIM: 0.9101436477252814
Epoch: 1  , step: 350  , SSIM: 0.9103445777526269
Epoch: 1  , step: 360  , SSIM: 0.910314125367479
Epoch: 1  , step: 370  , SSIM: 0.9102646750259914
Epoch: 1  , step: 380  , SSIM: 0.910316067261333
Epoch: 1  , step: 390  , SSIM: 0.9104330513788306
Epoch: 1  , step: 400  , SSIM: 0.910510629043912
Epoch: 1  , step: 410  , SSIM: 0.9105641247292214
Epoch: 1  , step: 420  , SSIM: 0.9104983013769227
Epoch: 1  , step: 430  , SSIM: 0.9103665289635448
Epoch: 1  , step: 440  , SSIM: 0.9105305400024466
Epoch: 1  , step: 450  , SSIM: 0.9106904215400341
Epoch: 1  , step: 460  , SSIM: 0.9107993905818385
Epoch: 1  , step: 470  , SSIM: 0.9107769253147635
Epoch: 1  , step: 480  , SSIM: 0.9108284941086402
Epoch: 1  , step: 490  , SSIM: 0.9106408415889545
Epoch: 1  , step: 500  , SSIM: 0.9106256736966665
Epoch: 1  , step: 510  , SSIM: 0.9107083756396449
Epoch: 1  , step: 520  , SSIM: 0.9107479248303141
Epoch: 1  , step: 530  , SSIM: 0.9106817529475397
Epoch: 1  , step: 540  , SSIM: 0.9107419404437053
Epoch: 1  , step: 550  , SSIM: 0.9109441811073498
Epoch: 1  , step: 560  , SSIM: 0.9109643030506617
Epoch: 1  , step: 570  , SSIM: 0.9110018965868106
Epoch: 1  , step: 580  , SSIM: 0.9109295804611377
Epoch: 1  , step: 590  , SSIM: 0.9110187675343754
Epoch: 1  , step: 600  , SSIM: 0.9111293901421266
Epoch: 1  , step: 610  , SSIM: 0.9111275473905273
Epoch: 1  , step: 620  , SSIM: 0.9112008936739199
Epoch: 1  , step: 630  , SSIM: 0.9112053812967049
Epoch: 1  , step: 640  , SSIM: 0.9114157050708527
Epoch: 1  , step: 650  , SSIM: 0.9114760871856443
Epoch: 1  , step: 660  , SSIM: 0.9115698233855474
Epoch: 1  , step: 670  , SSIM: 0.9116865002096322
Epoch: 1  , step: 680  , SSIM: 0.9117401789288514
Epoch: 1  , step: 690  , SSIM: 0.9116587463750163
Epoch: 1  , step: 700  , SSIM: 0.9116982281123011
Epoch: 1  , step: 710  , SSIM: 0.9117783107670383
Epoch: 1  , step: 720  , SSIM: 0.9119499712645098
Epoch: 1  , step: 730  , SSIM: 0.9121172923069809
Epoch: 1  , step: 740  , SSIM: 0.9121377321711758
Epoch: 1  , step: 750  , SSIM: 0.9121849248793408
Epoch: 1  , step: 760  , SSIM: 0.9122377479749972
Epoch: 1  , step: 770  , SSIM: 0.9121376917674539
Epoch: 1  , step: 780  , SSIM: 0.9121929533808241
Epoch: 1  , step: 790  , SSIM: 0.9122137669214859
Epoch: 1  , step: 800  , SSIM: 0.9122166105275148
Epoch: 1  , step: 810  , SSIM: 0.9123197021525532
Epoch: 1  , step: 820  , SSIM: 0.9124237138519333
Epoch: 1  , step: 830  , SSIM: 0.9124497051847253
Epoch: 1  , step: 840  , SSIM: 0.9126105941433402
Epoch: 1  , step: 850  , SSIM: 0.9127003956765601
Epoch: 1  , step: 860  , SSIM: 0.9126965954605573
Epoch: 1  , step: 870  , SSIM: 0.912766764413065
Epoch: 1  , step: 880  , SSIM: 0.9127943573284907
Epoch: 1  , step: 890  , SSIM: 0.9127905954147963
Epoch: 1  , step: 900  , SSIM: 0.9127583010876748
Epoch: 1  , step: 910  , SSIM: 0.912864478045316
Epoch: 1  , step: 920  , SSIM: 0.9128153518926307
Epoch: 1  , step: 930  , SSIM: 0.9128887535550029
Epoch: 1  , step: 940  , SSIM: 0.9129004080668013
Epoch: 1  , step: 950  , SSIM: 0.9129313409767191
Epoch: 1  , step: 960  , SSIM: 0.9130639621792177
Epoch: 1  , step: 970  , SSIM: 0.9131196041799599
Epoch: 1  , step: 980  , SSIM: 0.9130480341712026
Epoch: 1  , step: 990  , SSIM: 0.9130499583681224
Epoch: 1  , step: 1000  , SSIM: 0.9131841832822138
Epoch: 1  , step: 1010  , SSIM: 0.9131775001979605
Epoch: 1  , step: 1020  , SSIM: 0.9132296437147666
Epoch: 1  , step: 1030  , SSIM: 0.9132294213737132
Epoch: 1  , step: 1040  , SSIM: 0.9131844234970415
Epoch: 1  , step: 1050  , SSIM: 0.9131856484712588
Epoch: 1  , step: 1060  , SSIM: 0.9132103483481412
Epoch: 1  , step: 1070  , SSIM: 0.913270541043286
Epoch: 1  , step: 1080  , SSIM: 0.9132299294193843
Epoch: 1  , step: 1090  , SSIM: 0.91331244869914
Epoch: 1  , step: 1100  , SSIM: 0.9133250627812205
Epoch: 1  , step: 1110  , SSIM: 0.9133503872140049
Epoch: 1  , step: 1120  , SSIM: 0.9133745935429004
Epoch: 1  , Train:   , SSIM: 0.9134090441068013
lr: 0.0001
Epoch: 1  , Test:   , SSIM: 0.9116883246103923
Epoch: 2  , step: 0  , SSIM: 0.8788058161735535
Epoch: 2  , step: 10  , SSIM: 0.9166992360895331
Epoch: 2  , step: 20  , SSIM: 0.9200833411443801
Epoch: 2  , step: 30  , SSIM: 0.917684264721409
Epoch: 2  , step: 40  , SSIM: 0.9155623302227114
Epoch: 2  , step: 50  , SSIM: 0.9152936526373321
Epoch: 2  , step: 60  , SSIM: 0.9154898006407941
Epoch: 2  , step: 70  , SSIM: 0.9161276380780717
Epoch: 2  , step: 80  , SSIM: 0.9159815649927399
Epoch: 2  , step: 90  , SSIM: 0.9160516412703545
Epoch: 2  , step: 100  , SSIM: 0.9163261716908747
Epoch: 2  , step: 110  , SSIM: 0.9167065668750454
Epoch: 2  , step: 120  , SSIM: 0.9174969792366028
Epoch: 2  , step: 130  , SSIM: 0.9177433607232479
Epoch: 2  , step: 140  , SSIM: 0.9175974240539767
Epoch: 2  , step: 150  , SSIM: 0.9177724201947648
Epoch: 2  , step: 160  , SSIM: 0.9178478129161811
Epoch: 2  , step: 170  , SSIM: 0.9175989209559926
Epoch: 2  , step: 180  , SSIM: 0.9174047804010507
Epoch: 2  , step: 190  , SSIM: 0.9176091146094637
Epoch: 2  , step: 200  , SSIM: 0.9177364030880715
Epoch: 2  , step: 210  , SSIM: 0.917443246355554
Epoch: 2  , step: 220  , SSIM: 0.91758340300478
Epoch: 2  , step: 230  , SSIM: 0.9177548454437421
Epoch: 2  , step: 240  , SSIM: 0.9181066756426546
Epoch: 2  , step: 250  , SSIM: 0.9179647047206225
Epoch: 2  , step: 260  , SSIM: 0.9182426203256366
Epoch: 2  , step: 270  , SSIM: 0.9183500796226558
Epoch: 2  , step: 280  , SSIM: 0.9182725215721809
Epoch: 2  , step: 290  , SSIM: 0.9184576811659377
Epoch: 2  , step: 300  , SSIM: 0.9184350195121131
Epoch: 2  , step: 310  , SSIM: 0.9184896073924
Epoch: 2  , step: 320  , SSIM: 0.9184994959385595
