Epoch: 0  , step: 420  , SSIM: 0.6724383757558082  , loss_G_GAN: 0.6910301446914673  , loss_d: 0.692096471786499
Epoch: 0  , step: 430  , SSIM: 0.675817503745121  , loss_G_GAN: 0.6922867298126221  , loss_d: 0.6924769878387451
Epoch: 0  , step: 440  , SSIM: 0.6784266386320498  , loss_G_GAN: 0.6931117177009583  , loss_d: 0.6891034841537476
Epoch: 0  , step: 450  , SSIM: 0.6810467686078732  , loss_G_GAN: 0.7472836971282959  , loss_d: 0.7010548710823059
Epoch: 0  , step: 460  , SSIM: 0.6834319558564307  , loss_G_GAN: 0.7152033448219299  , loss_d: 0.6903263330459595
Epoch: 0  , step: 470  , SSIM: 0.6858681012755715  , loss_G_GAN: 0.6785857677459717  , loss_d: 0.6927406787872314
Epoch: 0  , step: 480  , SSIM: 0.6887554184450398  , loss_G_GAN: 0.6882610321044922  , loss_d: 0.6936953663825989
Epoch: 0  , step: 490  , SSIM: 0.6911241122162968  , loss_G_GAN: 0.6920458078384399  , loss_d: 0.6942378282546997
Epoch: 0  , step: 500  , SSIM: 0.6934903718646386  , loss_G_GAN: 0.6853715181350708  , loss_d: 0.6955438852310181
Epoch: 0  , step: 510  , SSIM: 0.6957343853044154  , loss_G_GAN: 0.693139910697937  , loss_d: 0.6927128434181213
Epoch: 0  , step: 520  , SSIM: 0.6980179130812953  , loss_G_GAN: 0.6944505572319031  , loss_d: 0.692447304725647
Epoch: 0  , step: 530  , SSIM: 0.7001698221537774  , loss_G_GAN: 0.6993805766105652  , loss_d: 0.6917538642883301
Epoch: 0  , step: 540  , SSIM: 0.7025080849976036  , loss_G_GAN: 0.6967525482177734  , loss_d: 0.6928278207778931
Epoch: 0  , step: 550  , SSIM: 0.7049858816857103  , loss_G_GAN: 0.6956442594528198  , loss_d: 0.6925657987594604
Epoch: 0  , step: 560  , SSIM: 0.707082820672761  , loss_G_GAN: 0.6969549655914307  , loss_d: 0.692108154296875
Epoch: 0  , step: 570  , SSIM: 0.7091809299394436  , loss_G_GAN: 0.6928189992904663  , loss_d: 0.6939557194709778
Epoch: 0  , step: 580  , SSIM: 0.7110618720273527  , loss_G_GAN: 0.690867006778717  , loss_d: 0.6930176615715027
Epoch: 0  , step: 590  , SSIM: 0.7132653645562818  , loss_G_GAN: 0.6938232779502869  , loss_d: 0.6927489042282104
Epoch: 0  , step: 600  , SSIM: 0.7151415068485748  , loss_G_GAN: 0.6969650983810425  , loss_d: 0.692407488822937
Epoch: 0  , step: 610  , SSIM: 0.7168987594444286  , loss_G_GAN: 0.696774423122406  , loss_d: 0.6926307678222656
Epoch: 0  , step: 620  , SSIM: 0.7187590923583234  , loss_G_GAN: 0.6987910866737366  , loss_d: 0.6922595500946045
