Epoch: 0  , step: 930  , SSIM: 0.8236221075057983
Epoch: 0  , step: 940  , SSIM: 0.824770987033844
Epoch: 0  , step: 950  , SSIM: 0.8258776664733887
Epoch: 0  , step: 960  , SSIM: 0.8270920515060425
Epoch: 0  , step: 970  , SSIM: 0.8282299041748047
Epoch: 0  , step: 980  , SSIM: 0.8292977809906006
Epoch: 0  , step: 990  , SSIM: 0.8303276896476746
Epoch: 0  , step: 1000  , SSIM: 0.8313724398612976
Epoch: 0  , step: 1010  , SSIM: 0.8324307799339294
Epoch: 0  , step: 1020  , SSIM: 0.8333547115325928
Epoch: 0  , step: 1030  , SSIM: 0.834303081035614
Epoch: 0  , step: 1040  , SSIM: 0.8352883458137512
Epoch: 0  , step: 1050  , SSIM: 0.8362932205200195
Epoch: 0  , step: 1060  , SSIM: 0.8373304009437561
Epoch: 0  , step: 1070  , SSIM: 0.8383100628852844
Epoch: 0  , step: 1080  , SSIM: 0.8391488194465637
Epoch: 0  , step: 1090  , SSIM: 0.8400847911834717
Epoch: 0  , step: 1100  , SSIM: 0.8409601449966431
Epoch: 0  , step: 1110  , SSIM: 0.8418101072311401
Epoch: 0  , step: 1120  , SSIM: 0.8426466584205627
Epoch: 0  , Train:   , loss_train: 0.5904433131217957
lr: 0.0001
Epoch: 0  , Test:   , ssim_all: 0.9375093579292297
Epoch: 1  , step: 0  , SSIM: 0.9385337829589844
Epoch: 1  , step: 10  , SSIM: 0.9409253597259521
Epoch: 1  , step: 20  , SSIM: 0.9399493336677551
Epoch: 1  , step: 30  , SSIM: 0.9405147433280945
Epoch: 1  , step: 40  , SSIM: 0.9414030909538269
Epoch: 1  , step: 50  , SSIM: 0.9418731331825256
Epoch: 1  , step: 60  , SSIM: 0.9407163262367249
Epoch: 1  , step: 70  , SSIM: 0.9417976140975952
Epoch: 1  , step: 80  , SSIM: 0.942101776599884
Epoch: 1  , step: 90  , SSIM: 0.9413620829582214
Epoch: 1  , step: 100  , SSIM: 0.9418269991874695
Epoch: 1  , step: 110  , SSIM: 0.9416945576667786
Epoch: 1  , step: 120  , SSIM: 0.9416245222091675
Epoch: 1  , step: 130  , SSIM: 0.942229151725769
Epoch: 1  , step: 140  , SSIM: 0.942218005657196
Epoch: 1  , step: 150  , SSIM: 0.9425484538078308
Epoch: 1  , step: 160  , SSIM: 0.9425088763237
Epoch: 1  , step: 170  , SSIM: 0.9425276517868042
Epoch: 1  , step: 180  , SSIM: 0.9423374533653259
Epoch: 1  , step: 190  , SSIM: 0.9426279664039612
Epoch: 1  , step: 200  , SSIM: 0.9426128268241882
Epoch: 1  , step: 210  , SSIM: 0.9425782561302185
Epoch: 1  , step: 220  , SSIM: 0.9425416588783264
Epoch: 1  , step: 230  , SSIM: 0.9428238272666931
Epoch: 1  , step: 240  , SSIM: 0.9428832530975342
Epoch: 1  , step: 250  , SSIM: 0.9430009722709656
Epoch: 1  , step: 260  , SSIM: 0.9430999755859375
Epoch: 1  , step: 270  , SSIM: 0.9431068897247314
Epoch: 1  , step: 280  , SSIM: 0.9433829188346863
Epoch: 1  , step: 290  , SSIM: 0.9435999393463135
Epoch: 1  , step: 300  , SSIM: 0.9436771273612976
Epoch: 1  , step: 310  , SSIM: 0.943930983543396
Epoch: 1  , step: 320  , SSIM: 0.9441609978675842
Epoch: 1  , step: 330  , SSIM: 0.9441810250282288
Epoch: 1  , step: 340  , SSIM: 0.9440430998802185
Epoch: 1  , step: 350  , SSIM: 0.94417804479599
Epoch: 1  , step: 360  , SSIM: 0.9443032145500183
Epoch: 1  , step: 370  , SSIM: 0.944419264793396
Epoch: 1  , step: 380  , SSIM: 0.944444477558136
Epoch: 1  , step: 390  , SSIM: 0.9444082975387573
Epoch: 1  , step: 400  , SSIM: 0.9445647597312927
Epoch: 1  , step: 410  , SSIM: 0.9446894526481628
Epoch: 1  , step: 420  , SSIM: 0.944790244102478
Epoch: 1  , step: 430  , SSIM: 0.9450685977935791
Epoch: 1  , step: 440  , SSIM: 0.9452958106994629
Epoch: 1  , step: 450  , SSIM: 0.945380449295044
Epoch: 1  , step: 460  , SSIM: 0.945589005947113
Epoch: 1  , step: 470  , SSIM: 0.9456080794334412
Epoch: 1  , step: 480  , SSIM: 0.9455926418304443
Epoch: 1  , step: 490  , SSIM: 0.9455795884132385
Epoch: 1  , step: 500  , SSIM: 0.9457553029060364
Epoch: 1  , step: 510  , SSIM: 0.9458995461463928
Epoch: 1  , step: 520  , SSIM: 0.9460511207580566
Epoch: 1  , step: 530  , SSIM: 0.9461568593978882
Epoch: 1  , step: 540  , SSIM: 0.9462428689002991
Epoch: 1  , step: 550  , SSIM: 0.9461879134178162
Epoch: 1  , step: 560  , SSIM: 0.9462001919746399
Epoch: 1  , step: 570  , SSIM: 0.9461621642112732
Epoch: 1  , step: 580  , SSIM: 0.9462186694145203
Epoch: 1  , step: 590  , SSIM: 0.9462141990661621
Epoch: 1  , step: 600  , SSIM: 0.9461908340454102
Epoch: 1  , step: 610  , SSIM: 0.9462249279022217
Epoch: 1  , step: 620  , SSIM: 0.9463575482368469
Epoch: 1  , step: 630  , SSIM: 0.9464616179466248
Epoch: 1  , step: 640  , SSIM: 0.9465706944465637
Epoch: 1  , step: 650  , SSIM: 0.9465805292129517
Epoch: 1  , step: 660  , SSIM: 0.946671724319458
Epoch: 1  , step: 670  , SSIM: 0.9467201232910156
Epoch: 1  , step: 680  , SSIM: 0.9467588067054749
Epoch: 1  , step: 690  , SSIM: 0.9469366073608398
Epoch: 1  , step: 700  , SSIM: 0.9470603466033936
Epoch: 1  , step: 710  , SSIM: 0.9471028447151184
Epoch: 1  , step: 720  , SSIM: 0.947171151638031
Epoch: 1  , step: 730  , SSIM: 0.9472754597663879
Epoch: 1  , step: 740  , SSIM: 0.9473151564598083
Epoch: 1  , step: 750  , SSIM: 0.9473786950111389
Epoch: 1  , step: 760  , SSIM: 0.9473749399185181
Epoch: 1  , step: 770  , SSIM: 0.9473856091499329
Epoch: 1  , step: 780  , SSIM: 0.9473913908004761
Epoch: 1  , step: 790  , SSIM: 0.9474071264266968
Epoch: 1  , step: 800  , SSIM: 0.9475330114364624
Epoch: 1  , step: 810  , SSIM: 0.9475953578948975
Epoch: 1  , step: 820  , SSIM: 0.9476304054260254
Epoch: 1  , step: 830  , SSIM: 0.9477288722991943
Epoch: 1  , step: 840  , SSIM: 0.9477823376655579
Epoch: 1  , step: 850  , SSIM: 0.9478036165237427
Epoch: 1  , step: 860  , SSIM: 0.9479013681411743
Epoch: 1  , step: 870  , SSIM: 0.9479119777679443
Epoch: 1  , step: 880  , SSIM: 0.9479915499687195
Epoch: 1  , step: 890  , SSIM: 0.9480522274971008
Epoch: 1  , step: 900  , SSIM: 0.948094367980957
Epoch: 1  , step: 910  , SSIM: 0.9481556415557861
Epoch: 1  , step: 920  , SSIM: 0.9482100009918213
Epoch: 1  , step: 930  , SSIM: 0.948219895362854
Epoch: 1  , step: 940  , SSIM: 0.9482458829879761
Epoch: 1  , step: 950  , SSIM: 0.948267936706543
Epoch: 1  , step: 960  , SSIM: 0.9483312368392944
Epoch: 1  , step: 970  , SSIM: 0.9483445286750793
Epoch: 1  , step: 980  , SSIM: 0.9484297037124634
Epoch: 1  , step: 990  , SSIM: 0.9484718441963196
Epoch: 1  , step: 1000  , SSIM: 0.9485191702842712
Epoch: 1  , step: 1010  , SSIM: 0.9485751986503601
Epoch: 1  , step: 1020  , SSIM: 0.948575496673584
Epoch: 1  , step: 1030  , SSIM: 0.9486369490623474
Epoch: 1  , step: 1040  , SSIM: 0.9486370086669922
Epoch: 1  , step: 1050  , SSIM: 0.9486967325210571
Epoch: 1  , step: 1060  , SSIM: 0.9487774968147278
Epoch: 1  , step: 1070  , SSIM: 0.9488439559936523
Epoch: 1  , step: 1080  , SSIM: 0.9488933086395264
Epoch: 1  , step: 1090  , SSIM: 0.948942244052887
Epoch: 1  , step: 1100  , SSIM: 0.9489511251449585
Epoch: 1  , step: 1110  , SSIM: 0.9490125179290771
Epoch: 1  , step: 1120  , SSIM: 0.949040949344635
Epoch: 1  , Train:   , loss_train: 0.2975068688392639
lr: 0.0001
Epoch: 1  , Test:   , ssim_all: 0.9513863325119019
Epoch: 2  , step: 0  , SSIM: 0.961807131767273
Epoch: 2  , step: 10  , SSIM: 0.9542652368545532
Epoch: 2  , step: 20  , SSIM: 0.9574185609817505
Epoch: 2  , step: 30  , SSIM: 0.9565796852111816
Epoch: 2  , step: 40  , SSIM: 0.9565091133117676
Epoch: 2  , step: 50  , SSIM: 0.9557217359542847
Epoch: 2  , step: 60  , SSIM: 0.9561522603034973
Epoch: 2  , step: 70  , SSIM: 0.9567998051643372
Epoch: 2  , step: 80  , SSIM: 0.9564467072486877
Epoch: 2  , step: 90  , SSIM: 0.9565905928611755
Epoch: 2  , step: 100  , SSIM: 0.9561324715614319
Epoch: 2  , step: 110  , SSIM: 0.9559789299964905
Epoch: 2  , step: 120  , SSIM: 0.9562296867370605
