Epoch: 0  , step: 1030  , ssim_all: 0.7847670912742615
Epoch: 0  , step: 1040  , ssim_all: 0.7849704623222351
Epoch: 0  , step: 1050  , ssim_all: 0.785159170627594
Epoch: 0  , step: 1060  , ssim_all: 0.7853261232376099
Epoch: 0  , step: 1070  , ssim_all: 0.7855978608131409
Epoch: 0  , step: 1080  , ssim_all: 0.7859300374984741
Epoch: 0  , step: 1090  , ssim_all: 0.7862748503684998
Epoch: 0  , step: 1100  , ssim_all: 0.7866011261940002
Epoch: 0  , step: 1110  , ssim_all: 0.7870467901229858
Epoch: 0  , step: 1120  , ssim_all: 0.7872246503829956
Epoch: 0  , Train:   , ssim_all: 0.7874288558959961
lr: 0.0001
Epoch: 0  , Test:   , SSIM: 0.8153127431869507
Epoch: 1  , step: 0  , ssim_all: 0.8069471120834351
Epoch: 1  , step: 10  , ssim_all: 0.8153277039527893
Epoch: 1  , step: 20  , ssim_all: 0.8063486218452454
Epoch: 1  , step: 30  , ssim_all: 0.8092564344406128
Epoch: 1  , step: 40  , ssim_all: 0.8137395977973938
Epoch: 1  , step: 50  , ssim_all: 0.8126340508460999
Epoch: 1  , step: 60  , ssim_all: 0.8127946257591248
Epoch: 1  , step: 70  , ssim_all: 0.8114884495735168
Epoch: 1  , step: 80  , ssim_all: 0.8115861415863037
Epoch: 1  , step: 90  , ssim_all: 0.8116462826728821
Epoch: 1  , step: 100  , ssim_all: 0.8125163912773132
Epoch: 1  , step: 110  , ssim_all: 0.8118655681610107
Epoch: 1  , step: 120  , ssim_all: 0.8114646673202515
Epoch: 1  , step: 130  , ssim_all: 0.8099133968353271
Epoch: 1  , step: 140  , ssim_all: 0.8106346130371094
Epoch: 1  , step: 150  , ssim_all: 0.811331033706665
Epoch: 1  , step: 160  , ssim_all: 0.8117908239364624
Epoch: 1  , step: 170  , ssim_all: 0.8118009567260742
Epoch: 1  , step: 180  , ssim_all: 0.8119760751724243
Epoch: 1  , step: 190  , ssim_all: 0.8116645216941833
Epoch: 1  , step: 200  , ssim_all: 0.8109599947929382
Epoch: 1  , step: 210  , ssim_all: 0.8111786842346191
Epoch: 1  , step: 220  , ssim_all: 0.8114004731178284
Epoch: 1  , step: 230  , ssim_all: 0.8114835619926453
Epoch: 1  , step: 240  , ssim_all: 0.8123975396156311
Epoch: 1  , step: 250  , ssim_all: 0.812686562538147
Epoch: 1  , step: 260  , ssim_all: 0.8131999969482422
Epoch: 1  , step: 270  , ssim_all: 0.8135920166969299
Epoch: 1  , step: 280  , ssim_all: 0.8137744069099426
Epoch: 1  , step: 290  , ssim_all: 0.814258873462677
Epoch: 1  , step: 300  , ssim_all: 0.8150738477706909
Epoch: 1  , step: 310  , ssim_all: 0.8153680562973022
Epoch: 1  , step: 320  , ssim_all: 0.8152453303337097
Epoch: 1  , step: 330  , ssim_all: 0.8157375454902649
Epoch: 1  , step: 340  , ssim_all: 0.8160791397094727
Epoch: 1  , step: 350  , ssim_all: 0.8159127235412598
Epoch: 1  , step: 360  , ssim_all: 0.8166553974151611
Epoch: 1  , step: 370  , ssim_all: 0.816909909248352
Epoch: 1  , step: 380  , ssim_all: 0.8171458840370178
Epoch: 1  , step: 390  , ssim_all: 0.8171297907829285
Epoch: 1  , step: 400  , ssim_all: 0.8171617388725281
Epoch: 1  , step: 410  , ssim_all: 0.8174285292625427
Epoch: 1  , step: 420  , ssim_all: 0.8177120685577393
Epoch: 1  , step: 430  , ssim_all: 0.8178967833518982
Epoch: 1  , step: 440  , ssim_all: 0.8178120255470276
Epoch: 1  , step: 450  , ssim_all: 0.8181869387626648
Epoch: 1  , step: 460  , ssim_all: 0.8180171847343445
Epoch: 1  , step: 470  , ssim_all: 0.818242609500885
Epoch: 1  , step: 480  , ssim_all: 0.8183366656303406
Epoch: 1  , step: 490  , ssim_all: 0.8183680176734924
Epoch: 1  , step: 500  , ssim_all: 0.8186987042427063
Epoch: 1  , step: 510  , ssim_all: 0.8191110491752625
Epoch: 1  , step: 520  , ssim_all: 0.8192226886749268
