Epoch: 0  , step: 1000  , loss: 0.24293002486228943
Epoch: 0  , step: 1010  , loss: 0.24176013469696045
Epoch: 0  , step: 1020  , loss: 0.24067941308021545
Epoch: 0  , step: 1030  , loss: 0.23953936994075775
Epoch: 0  , step: 1040  , loss: 0.238404780626297
Epoch: 0  , step: 1050  , loss: 0.23729240894317627
Epoch: 0  , step: 1060  , loss: 0.2362738400697708
Epoch: 0  , step: 1070  , loss: 0.23525498807430267
Epoch: 0  , step: 1080  , loss: 0.23409953713417053
Epoch: 0  , step: 1090  , loss: 0.2330084592103958
Epoch: 0  , step: 1100  , loss: 0.23196843266487122
Epoch: 0  , step: 1110  , loss: 0.23092876374721527
Epoch: 0  , step: 1120  , loss: 0.22989730536937714
Epoch: 0  , Train:   , losses_train: 0.2294825315475464
lr: 0.0001
Epoch: 0  , Test:   , loss_all: 0.11016292870044708
Epoch: 1  , step: 0  , loss: 0.10605164617300034
Epoch: 1  , step: 10  , loss: 0.11343351006507874
Epoch: 1  , step: 20  , loss: 0.11355437338352203
Epoch: 1  , step: 30  , loss: 0.11382743716239929
Epoch: 1  , step: 40  , loss: 0.11219172179698944
Epoch: 1  , step: 50  , loss: 0.11010152846574783
Epoch: 1  , step: 60  , loss: 0.10881581157445908
Epoch: 1  , step: 70  , loss: 0.10785295814275742
Epoch: 1  , step: 80  , loss: 0.10727516561746597
Epoch: 1  , step: 90  , loss: 0.1058279275894165
Epoch: 1  , step: 100  , loss: 0.10551656782627106
Epoch: 1  , step: 110  , loss: 0.10505669564008713
Epoch: 1  , step: 120  , loss: 0.10455713421106339
Epoch: 1  , step: 130  , loss: 0.10465026646852493
Epoch: 1  , step: 140  , loss: 0.10487118363380432
Epoch: 1  , step: 150  , loss: 0.10475679486989975
Epoch: 1  , step: 160  , loss: 0.10444291681051254
Epoch: 1  , step: 170  , loss: 0.10399427264928818
Epoch: 1  , step: 180  , loss: 0.10364711284637451
Epoch: 1  , step: 190  , loss: 0.10335716605186462
Epoch: 1  , step: 200  , loss: 0.10284639894962311
Epoch: 1  , step: 210  , loss: 0.10286947339773178
Epoch: 1  , step: 220  , loss: 0.10249779373407364
Epoch: 1  , step: 230  , loss: 0.10200737416744232
Epoch: 1  , step: 240  , loss: 0.10162326693534851
Epoch: 1  , step: 250  , loss: 0.10107003897428513
Epoch: 1  , step: 260  , loss: 0.1006307378411293
Epoch: 1  , step: 270  , loss: 0.10021112114191055
Epoch: 1  , step: 280  , loss: 0.10007387399673462
Epoch: 1  , step: 290  , loss: 0.09965569525957108
Epoch: 1  , step: 300  , loss: 0.09939783066511154
Epoch: 1  , step: 310  , loss: 0.09893044829368591
Epoch: 1  , step: 320  , loss: 0.09854227304458618
Epoch: 1  , step: 330  , loss: 0.09797023981809616
Epoch: 1  , step: 340  , loss: 0.09762581437826157
Epoch: 1  , step: 350  , loss: 0.09707807004451752
Epoch: 1  , step: 360  , loss: 0.0967569425702095
Epoch: 1  , step: 370  , loss: 0.09636817127466202
